,alpha,gamma,distribution,parameters
0,0.5,0.0,pareto,"(1.5804166102083594, -1.7115906368996971, 0.82239602069459272)"
1,0.5,0.5,pareto,"(1.5879859313735474, -1.6802620267462478, 0.81575745942958078)"
2,0.5,1.0,pareto,"(1.6071458783218988, -1.7320563942754152, 0.8415240784320972)"
3,0.5,1.5,pareto,"(1.5694901256741824, -1.721947023819963, 0.82811047302121121)"
4,0.5,2.0,pareto,"(1.5120665441235919, -1.8028280632932114, 0.8541590897445146)"
5,0.5,2.5,pareto,"(1.5030525941347888, -1.8237131771148638, 0.87036516091985661)"
6,0.5,3.0,pareto,"(1.9939457727754073, -2.0170233621007574, 1.1200095156589351)"
7,0.5,3.5,pareto,"(1.5849328404662675, -1.6776181960446555, 0.81805397679284519)"
8,1.0,0.0,pareto,"(1.5586744991556869, -1.1818070994825689, 0.5374248068951275)"
9,1.0,0.5,pareto,"(1.7686413844726632, -1.4469172813671303, 0.72548474932624774)"
10,1.0,1.0,pareto,"(1.5499777068078813, -1.5537932442927636, 0.7331208802692214)"
11,1.0,1.5,pareto,"(1.6560850204802766, -1.4883022720064194, 0.72400424011049536)"
12,1.0,2.0,pareto,"(16.545372660704363, -15.807514999623152, 14.852588631234457)"
13,1.0,2.5,pareto,"(1.6487740397636239, -1.5303122373629305, 0.74561962358373135)"
14,1.0,3.0,pareto,"(1.5029337034290142, -1.6616925880798612, 0.77170812519272802)"
15,1.0,3.5,pareto,"(1.9833375808407352, -1.7931628963061128, 0.98410052798610703)"
16,1.5,0.0,pareto,"(1.9056005658769668, -1.1565871875656573, 0.56963061256038616)"
17,1.5,0.5,pareto,"(1.8148316890557155, -0.79399868703794274, 0.34850778169531793)"
18,1.5,1.0,pareto,"(1.8837100817651149, -1.1875395822144417, 0.58786585010783254)"
19,1.5,1.5,pareto,"(1.7264056915396355, -1.1847893064545665, 0.56710290885871539)"
20,1.5,2.0,pareto,"(1.2660512933237471, -0.96817906021579159, 0.37600908353188695)"
21,1.5,2.5,pareto,"(2.685432266476095, -1.5741228771166513, 0.98995583515840835)"
22,1.5,3.0,pareto,"(1.752544573179331, -1.4704717016679787, 0.73837580492697708)"
23,1.5,3.5,pareto,"(1.6864189524116344, -1.5644035147993414, 0.77593199947777058)"
